epoch,train_loss,val_acc,val_ndcg@5,val_ndcg@10,val_ndcg@20,val_spearman,monitor,lr,lambda_ce,max_pairs_per_group,dropout
64,0.07988043474576484,0.302175,0.9890662435406382,0.9636490381408521,0.9694928358620156,0.9012272771974028,0.9324381576691274,0.0003,0.33,128,0.3
65,0.0796755871230107,0.308425,0.9890662435406382,0.9697626983157988,0.97037116153769,0.900929056790073,0.9353458775529359,0.0003,0.33,128,0.3
66,0.0808997898198919,0.305425,0.9890662435406382,0.9701822272224084,0.9709106021778787,0.9012614954320368,0.9357218613272227,0.0003,0.33,128,0.3
67,0.07984849617476024,0.298475,0.9890662435406382,0.9697626983157988,0.9705218238006434,0.9012507423439426,0.9355067203298707,0.0003,0.33,128,0.3
68,0.08083113283249277,0.298075,0.9890662435406382,0.9701822272224084,0.9706114724216912,0.9014629970555479,0.9358226121389781,0.0003,0.33,128,0.3
69,0.07964505459227895,0.299925,1.0,0.9762654832321863,0.9715311842455119,0.901249121124481,0.9387573021783336,0.0003,0.33,128,0.3
70,0.07983840221755467,0.29705,0.9890662435406382,0.9701822272224084,0.9708930308915893,0.9014814677962606,0.9358318475093346,0.0003,0.33,128,0.3
71,0.07877112977638294,0.30585,1.0,0.9707442979443206,0.9714520190926677,0.9009095656488417,0.9358269317965812,0.0003,0.33,128,0.3
72,0.08117872840717176,0.306775,0.9890662435406382,0.9697626983157988,0.970407810115503,0.9011534270027393,0.935458062659269,0.0003,0.33,128,0.3
73,0.07846085446578735,0.298325,0.9890662435406382,0.9697626983157988,0.9705882569055345,0.9007981745174601,0.9352804364166294,0.0003,0.33,128,0.3
74,0.07885459341124229,0.303125,0.9890662435406382,0.9694349733022503,0.97047401249991,0.9005727391441138,0.935003856223182,0.0003,0.33,128,0.3
75,0.07729036569109968,0.298,0.9890662435406382,0.9694349733022503,0.9703848540107104,0.9006749286474255,0.9350549509748378,0.0003,0.33,128,0.3
76,0.07850094387553982,0.295925,0.9890662435406382,0.9694349733022503,0.9703274934657342,0.9002577264053562,0.9348463498538032,0.0003,0.33,128,0.3
77,0.07694310978060721,0.304525,0.9890662435406382,0.9694349733022503,0.9701330800678903,0.9005925061935023,0.9350137397478763,0.0003,0.33,128,0.3
78,0.07901507183330422,0.294625,0.9890662435406382,0.9694349733022503,0.9702928652216387,0.8998452641999024,0.9346401187510763,0.0003,0.33,128,0.3
79,0.07706351168592883,0.30395,0.9749345683209042,0.9671253971349351,0.9648375060432763,0.9001933478996789,0.933659372517307,0.0003,0.33,128,0.3
80,0.07667506984421753,0.29755,0.9890662435406382,0.9691702234287178,0.9699994214450018,0.9002667405638316,0.9347184819962747,0.0003,0.33,128,0.3
81,0.07755353443865248,0.30765,0.9890662435406382,0.9689507704907647,0.969612778681627,0.9003191686161637,0.9346349695534641,0.0003,0.33,128,0.3
82,0.07609156484306821,0.306275,1.0,0.9760460302942332,0.9715868842512703,0.9000404345907231,0.9380432324424781,0.0003,0.33,128,0.3
83,0.07640708042433626,0.3041,1.0,0.9762654832321863,0.9716543208214472,0.8997689800979576,0.9380172316650719,0.0003,0.33,128,0.3
84,0.0747033893706234,0.305075,0.976893881053746,0.9675849292081918,0.9687226214094059,0.9000884973121762,0.933836713260184,0.0003,0.33,128,0.3
85,0.07891083520223603,0.298425,0.9890662435406382,0.9691702234287178,0.9697978839463014,0.8994966196823767,0.9343334215555472,0.0003,0.33,128,0.3
86,0.07677761226063058,0.29875,0.9878276375131079,0.9628452675801913,0.9683149178131286,0.9004731712084492,0.9316592193943203,0.0003,0.33,128,0.3
87,0.07497063666101413,0.2938,0.9890662435406382,0.9694349733022503,0.9703424158047256,0.8998969953691408,0.9346659843356955,0.0003,0.33,128,0.3
88,0.07539968877943275,0.298925,0.9890662435406382,0.9697626983157988,0.9702175399464368,0.8997502814424398,0.9347564898791193,0.0003,0.33,128,0.3
89,0.0755821432787561,0.299025,0.9890662435406382,0.9689507704907647,0.9693865312044263,0.8998719552856351,0.9344113628881999,0.0003,0.33,128,0.3
90,0.0775188917122918,0.3034,0.9890662435406382,0.9694349733022503,0.9697382886604451,0.8995047545021986,0.9344698639022244,0.0003,0.33,128,0.3
91,0.07599516690920537,0.300225,0.985868324780266,0.9615738076819005,0.964769246830443,0.8993408392109072,0.9304573234464039,0.0003,0.33,128,0.3
92,0.07601846268428761,0.30355,0.9890662435406382,0.9636490381408521,0.9691071965639266,0.8992077746053537,0.9314284063731029,0.0003,0.33,128,0.3
93,0.07517332876236729,0.299925,0.9890662435406382,0.9697626983157988,0.9699544986739825,0.8990978138891554,0.9344302561024771,0.0003,0.33,128,0.3
94,0.07509450936855216,0.3001,0.9878276375131079,0.9628452675801913,0.96586146466064,0.8985441555096148,0.930694711544903,0.0003,0.33,128,0.3
95,0.07495534824487445,0.306525,0.9890662435406382,0.9701822272224084,0.9706759355237449,0.8983754324707787,0.9342788298465936,0.0003,0.33,128,0.3
96,0.07446686642029843,0.3021,0.9890662435406382,0.9691702234287178,0.969707740938822,0.8990931690972706,0.9341316962629942,0.0003,0.33,128,0.3
97,0.07421134152663884,0.29745,0.976893881053746,0.9622831968582792,0.9677942128655029,0.899005546085047,0.9306443714716631,0.0003,0.33,128,0.3
98,0.07329025790526796,0.303525,0.9890662435406382,0.9697626983157988,0.9702820030484904,0.8987013274638218,0.9342320128898103,0.0003,0.33,128,0.3
99,0.07332622406454944,0.29395,0.9890662435406382,0.9694349733022503,0.9701151984005993,0.8983108132978471,0.9338728933000486,0.0003,0.33,128,0.3
100,0.07503010842487531,0.290125,0.976893881053746,0.9622831968582792,0.9681691233842583,0.8984102224816974,0.9303467096699883,0.0003,0.33,128,0.3
101,0.07423580834814951,0.29485,0.9890662435406382,0.9694349733022503,0.9700439215786907,0.8981361502168206,0.9337855617595354,0.0003,0.33,128,0.3
102,0.07392904505182536,0.295075,0.9890662435406382,0.9697626983157988,0.9703406765223721,0.8977512824199381,0.9337569903678684,0.0003,0.33,128,0.3
103,0.07397985677015596,0.290725,0.985868324780266,0.9670949929697663,0.965367821202501,0.8980805385178816,0.932587765743824,0.0003,0.33,128,0.3
104,0.07306624100831863,0.2882,0.9878276375131079,0.9686312027415894,0.9663233918881156,0.8982463897129827,0.9334387962272861,0.0003,0.33,128,0.3
105,0.07297072906814298,0.288425,0.9890662435406382,0.9697626983157988,0.9703406765223721,0.8976808830062749,0.9337217906610369,0.0003,0.33,128,0.3
106,0.0727029286524838,0.29135,0.9890662435406382,0.9694349733022503,0.9667047828120237,0.8969494559107258,0.933192214606488,0.0003,0.33,128,0.3
107,0.07116175616414715,0.2938,0.9890662435406382,0.9697626983157988,0.9702035875343711,0.8978420886487387,0.9338023934822688,0.0003,0.33,128,0.3
108,0.07218417630619861,0.295575,0.9890662435406382,0.9694349733022503,0.9671688518199786,0.8969277201043455,0.9331813467032979,0.0003,0.33,128,0.3
109,0.07272239072650769,0.297425,0.9890662435406382,0.9689507704907647,0.9695550751346709,0.8970660297483556,0.9330084001195602,0.0003,0.33,128,0.3
110,0.07139583330466756,0.2928,0.9890662435406382,0.9694349733022503,0.9701310808464916,0.8973866594397228,0.9334108163709866,0.0003,0.33,128,0.3
111,0.0720928336520829,0.29135,0.9890662435406382,0.9636490381408521,0.9695819943512152,0.8976353519166094,0.9306421950287307,0.0003,0.33,128,0.3
112,0.07071340089049266,0.295325,0.9890662435406382,0.9701822272224084,0.9707748622539166,0.8965368781905917,0.9333595527065001,0.0003,0.33,128,0.3
113,0.07229022343652995,0.287425,0.9890662435406382,0.9694349733022503,0.9701160231100843,0.8957476369265034,0.9325913051143768,0.0003,0.33,128,0.3
114,0.07314680130074484,0.29225,0.9890662435406382,0.9694349733022503,0.9670975749980701,0.896198293833136,0.9328166335676931,0.0003,0.33,128,0.3
115,0.072805552888713,0.2917,0.9890662435406382,0.9694349733022503,0.967067740140112,0.8965202184882968,0.9329775958952735,0.0003,0.33,128,0.3
116,0.07115077041191258,0.28955,0.9890662435406382,0.9694349733022503,0.9672848355079565,0.8962886185331396,0.9328617959176949,0.0003,0.33,128,0.3
117,0.07183495157294481,0.28525,0.9890662435406382,0.9636490381408521,0.9663046985264044,0.8958401970171652,0.9297446175790087,0.0003,0.33,128,0.3
118,0.07050636061221861,0.2879,0.9890662435406382,0.9689507704907647,0.966555547372985,0.8963515515773806,0.9326511610340726,0.0003,0.33,128,0.3
